date,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,WIPRO,BAJFINANCE,HCLTECH,market_nifty50
2025-05-14,2323.62,3485.28,1584.68,1408.44,1153.22,520.15,6884.17,1669.41,17455.36
2025-05-15,2268.11,3486.94,1560.59,1433.96,1168.36,526.45,6809.41,1652.09,16695.55
2025-05-16,2328.08,3516.31,1555.73,1455.19,1182.45,534.57,6649.03,1635.72,17029.32
2025-05-19,2342.35,3569.61,1533.44,1459.13,1222.51,540.55,6741.18,1636.56,17115.14
2025-05-20,2407.61,3578.18,1562.82,1441.14,1234.31,548.31,6670.53,1664.83,16898.71
2025-05-21,2380.46,3580.98,1609.36,1448.98,1252.62,542.73,6683.62,1636.78,16914.33
2025-05-22,2412.2,3581.78,1645.68,1445.74,1249.9,553.56,6623.94,1600.78,17195.19
2025-05-23,2429.12,3468.32,1648.1,1438.14,1283.61,547.95,6571.53,1580.2,16841.89
2025-05-26,2405.54,3396.39,1623.93,1404.63,1255.81,535.57,6525.42,1565.26,16816.03
2025-05-27,2424.72,3396.66,1614.71,1395.98,1286.82,537.93,6577.17,1505.79,16901.94
2025-05-28,2347.7,3377.66,1625.04,1382.98,1297.86,530.11,6639.24,1471.9,16960.75
2025-05-29,2364.36,3407.51,1623.24,1424.33,1290.83,526.95,6369.74,1512.13,16944.65
2025-05-30,2324.54,3477.75,1654.62,1427.78,1264.08,530.68,6315.46,1486.78,17156.51
2025-06-02,2252.04,3510.12,1667.34,1472.85,1271.26,514.72,6241.31,1489.41,17053.33
2025-06-03,2286.97,3409.75,1660.42,1495.46,1301.72,529.5,6209.77,1515.12,17256.76
2025-06-04,2329.9,3449.49,1682.37,1478.94,1274.5,537.73,6182.41,1515.69,16913.19
2025-06-05,2318.03,3464.29,1657.93,1481.64,1280.22,537.54,6118.39,1534.79,17280.9
2025-06-06,2298.98,3531.21,1681.37,1423.86,1266.63,532.84,6195.03,1540.36,17071.16
2025-06-09,2322.76,3486.42,1663.89,1398.88,1264.41,532.31,6215.9,1524.79,17135.98
2025-06-10,2356.57,3570.09,1682.97,1403.89,1278.17,537.6,6160.1,1555.5,17257.78
2025-06-11,2428.34,3574.83,1692.5,1413.78,1279.14,543.02,6153.83,1552.22,17263.85
2025-06-12,2436.28,3581.28,1716.25,1418.1,1285.76,542.94,6046.1,1552.74,16829.47
2025-06-13,2445.91,3520.68,1741.22,1435.17,1292.2,542.56,6088.69,1508.22,16835.48
2025-06-16,2442.41,3541.73,1740.54,1414.69,1295.82,539.3,5995.97,1516.88,16968.5
2025-06-17,2488.2,3579.92,1761.11,1422.65,1280.43,532.16,5868.45,1583.6,16838.08
2025-06-18,2482.36,3563.43,1755.09,1411.32,1245.57,524.62,5750.73,1581.86,16897.37
2025-06-19,2458.76,3577.82,1741.15,1432.18,1239.35,526.81,5641.01,1598.71,16939.22
2025-06-20,2475.8,3598.39,1738.01,1438.0,1233.18,537.87,5724.58,1611.56,16822.98
2025-06-23,2436.96,3565.44,1733.01,1448.81,1217.58,547.8,5729.47,1564.19,16928.7
2025-06-24,2344.41,3528.09,1720.12,1436.7,1212.61,545.0,5683.03,1600.69,17182.24
2025-06-25,2306.13,3597.27,1679.66,1420.29,1241.32,527.13,5736.57,1571.87,16978.4
2025-06-26,2301.74,3691.73,1660.58,1419.96,1253.99,525.56,5670.42,1571.73,17014.03
2025-06-27,2334.1,3642.46,1650.72,1427.97,1251.85,524.52,5673.51,1556.58,16880.05
2025-06-30,2351.4,3585.54,1680.9,1433.77,1228.88,527.17,5692.28,1575.62,17173.83
2025-07-01,2340.36,3550.34,1666.97,1413.82,1216.1,529.84,5698.14,1565.27,16889.26
2025-07-02,2354.44,3526.47,1642.29,1411.73,1212.25,521.76,5773.4,1586.39,17006.13
2025-07-03,2360.95,3557.18,1642.84,1431.73,1243.33,522.81,5816.15,1608.44,16949.29
2025-07-04,2322.88,3608.37,1605.5,1471.29,1260.56,524.7,5825.26,1651.98,16858.07
2025-07-07,2284.31,3578.88,1600.48,1450.25,1264.48,526.19,5758.81,1693.02,16791.19
2025-07-08,2242.39,3601.93,1596.78,1460.5,1253.75,518.45,5707.65,1677.01,17078.75
2025-07-09,2228.04,3645.95,1612.14,1484.47,1271.69,524.96,5778.13,1665.35,16960.72
2025-07-10,2168.66,3664.82,1597.14,1494.6,1282.77,514.73,5694.88,1657.96,16922.36
2025-07-11,2175.83,3604.24,1599.55,1457.94,1242.33,520.68,5587.93,1645.36,16787.4
2025-07-14,2131.59,3585.56,1590.99,1480.59,1251.7,519.06,5655.91,1674.23,17061.69
2025-07-15,2120.3,3643.21,1634.47,1496.44,1285.95,526.69,5732.45,1648.19,16832.97
2025-07-16,2120.42,3554.89,1621.24,1517.11,1274.15,531.32,5620.85,1637.3,17153.52
2025-07-17,2128.75,3573.21,1663.99,1547.83,1258.41,542.25,5573.47,1638.18,17002.28
2025-07-18,2164.72,3515.54,1676.6,1561.23,1274.73,540.97,5661.82,1622.01,17172.06
2025-07-21,2177.89,3444.52,1688.2,1566.68,1268.95,535.43,5645.95,1588.22,17253.61
2025-07-22,2142.77,3413.11,1718.54,1581.68,1283.67,548.04,5624.03,1564.56,17126.64
2025-07-23,2170.08,3399.1,1687.29,1612.34,1295.78,537.19,5694.33,1531.99,16927.61
2025-07-24,2135.25,3369.3,1667.55,1598.8,1310.89,539.99,5752.59,1558.32,16944.09
2025-07-25,2139.52,3399.19,1711.58,1621.64,1339.1,548.68,5848.42,1517.85,17132.13
2025-07-28,2148.06,3404.67,1699.41,1612.59,1348.53,556.03,5721.7,1524.03,16915.9
2025-07-29,2119.14,3427.44,1692.39,1597.94,1334.05,558.82,5725.42,1500.29,16873.85
2025-07-30,2115.03,3451.01,1667.1,1610.92,1318.63,582.13,5649.19,1483.71,17029.1
2025-07-31,2088.09,3496.61,1713.48,1602.84,1323.1,578.07,5653.71,1516.76,17134.14
2025-08-01,2061.44,3580.49,1744.72,1615.82,1311.08,579.1,5590.77,1528.61,16952.53
2025-08-04,1993.98,3633.1,1751.13,1643.25,1309.45,581.2,5688.78,1538.72,17043.2
2025-08-05,2091.72,3626.8,1756.97,1687.31,1294.69,572.59,5571.13,1552.27,17093.84
2025-08-06,2116.66,3556.07,1784.88,1718.96,1293.84,573.33,5632.04,1562.06,17096.3
2025-08-07,2083.87,3549.6,1753.85,1736.61,1305.17,572.94,5661.62,1526.84,17128.69
2025-08-08,2070.93,3559.31,1784.6,1718.29,1329.65,574.46,5668.54,1540.8,16812.95
2025-08-11,2091.04,3565.44,1813.77,1714.08,1323.47,578.1,5668.03,1514.9,16970.91
2025-08-12,2132.47,3563.31,1791.54,1733.86,1287.73,560.18,5672.21,1520.22,17033.06
2025-08-13,2105.62,3558.12,1755.38,1740.96,1257.56,559.37,5699.0,1481.38,16921.62
2025-08-14,2132.2,3643.64,1717.18,1751.23,1235.25,548.53,5840.0,1497.41,16879.37
2025-08-15,2140.91,3681.64,1723.22,1811.66,1247.46,524.34,5819.25,1482.06,16969.38
2025-08-18,2143.06,3648.63,1696.56,1850.16,1259.64,519.48,5883.23,1498.26,17190.1
2025-08-19,2110.85,3694.23,1682.45,1883.7,1257.01,502.19,5891.06,1459.36,16967.43
2025-08-20,2110.7,3674.95,1646.27,1853.68,1242.09,500.72,6009.63,1476.05,16929.17
2025-08-21,2152.72,3602.48,1664.5,1850.29,1247.49,505.92,5953.18,1494.97,16998.6
2025-08-22,2232.32,3588.92,1697.52,1869.73,1226.52,516.65,5863.25,1446.11,17128.0
2025-08-25,2269.9,3594.59,1692.23,1915.64,1240.6,511.98,5932.28,1420.3,16916.15
2025-08-26,2235.93,3478.84,1663.7,1952.3,1221.16,508.17,5833.72,1439.88,17000.18
2025-08-27,2254.18,3476.11,1635.81,1925.34,1237.47,508.14,5906.15,1372.73,17166.52
2025-08-28,2239.28,3592.19,1624.59,1927.7,1250.72,501.87,5988.19,1360.54,17193.37
2025-08-29,2267.71,3621.77,1608.24,1923.15,1257.35,486.96,5943.42,1380.77,16809.77
2025-09-01,2313.03,3590.53,1617.32,1891.58,1267.49,490.73,6049.48,1409.92,17188.03
2025-09-02,2322.13,3527.36,1650.73,1856.09,1260.16,496.55,6094.57,1444.74,16999.39
2025-09-03,2265.12,3515.62,1656.36,1847.81,1287.87,495.1,5968.18,1456.01,16827.85
2025-09-04,2324.69,3532.68,1622.82,1879.21,1334.67,480.61,6053.8,1467.75,17026.35
2025-09-05,2338.52,3561.57,1607.25,1920.49,1308.72,495.11,6197.37,1442.81,16999.19
2025-09-08,2390.2,3538.19,1604.62,1910.43,1332.69,490.99,6201.41,1455.66,16968.86
2025-09-09,2361.05,3469.82,1569.36,1878.15,1299.36,486.03,6234.3,1458.01,16876.01
2025-09-10,2326.88,3420.89,1537.94,1844.84,1314.32,476.18,6240.91,1445.66,17364.19
